#Indent,Branch,PV,Description,Latch,Delay,Count,Filter,Guidance
0,LCLS,,,,,,,
1,BCS,,,,,,,
,,DSC:BPN26:BC01:CH8_A,,false,0,,DSC:BPN26:BC01:CH8_AFP,
6,BCS:GLOBAL:DSC:BPN26:BC01:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:BPN26:BC01:B ,Summary PV: BCS:GLOBAL:DSC:BPN26:BC01:B:STATSUMY ,"
,,DSC:BPN26:BC01:CH1_B,,false,0,,DSC:BPN26:BC01:CH1_BFP,
,,DSC:BPN26:BC01:CH2_B,,false,0,,DSC:BPN26:BC01:CH2_BFP,
,,DSC:BPN26:BC01:CH3_B,,false,0,,DSC:BPN26:BC01:CH3_BFP,
,,DSC:BPN26:BC01:CH4_B,,false,0,,DSC:BPN26:BC01:CH4_BFP,
,,DSC:BPN26:BC01:CH5_B,,false,0,,DSC:BPN26:BC01:CH5_BFP,
,,DSC:BPN26:BC01:CH6_B,,false,0,,DSC:BPN26:BC01:CH6_BFP,
,,DSC:BPN26:BC01:CH7_B,,false,0,,DSC:BPN26:BC01:CH7_BFP,
,,DSC:BPN26:BC01:CH8_B,,false,0,,DSC:BPN26:BC01:CH8_BFP,
5,BCS:GLOBAL:DSC:BPN20,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC:BPN20 ,Summary PV: BCS:GLOBAL:DSC:BPN20:STATSUMY ,"
6,BCS:GLOBAL:DSC:BPN20:BC01:A,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:BPN20:BC01:A ,Summary PV: BCS:GLOBAL:DSC:BPN20:BC01:A:STATSUMY ,"
,,DSC:BPN20:BC01:CH1_A,,false,0,,DSC:BPN20:BC01:CH1_AFP,
,,DSC:BPN20:BC01:CH2_A,,false,0,,DSC:BPN20:BC01:CH2_AFP,
,,DSC:BPN20:BC01:CH3_A,,false,0,,DSC:BPN20:BC01:CH3_AFP,
,,DSC:BPN20:BC01:CH4_A,,false,0,,DSC:BPN20:BC01:CH4_AFP,
,,DSC:BPN20:BC01:CH5_A,,false,0,,DSC:BPN20:BC01:CH5_AFP,
,,DSC:BPN20:BC01:CH6_A,,false,0,,DSC:BPN20:BC01:CH6_AFP,
,,DSC:BPN20:BC01:CH7_A,,false,0,,DSC:BPN20:BC01:CH7_AFP,
,,DSC:BPN20:BC01:CH8_A,,false,0,,DSC:BPN20:BC01:CH8_AFP,
6,BCS:GLOBAL:DSC:BPN20:BC01:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:BPN20:BC01:B ,Summary PV: BCS:GLOBAL:DSC:BPN20:BC01:B:STATSUMY ,"
,,DSC:BPN20:BC01:CH1_B,,false,0,,DSC:BPN20:BC01:CH1_BFP,
,,DSC:BPN20:BC01:CH2_B,,false,0,,DSC:BPN20:BC01:CH2_BFP,
,,DSC:BPN20:BC01:CH3_B,,false,0,,DSC:BPN20:BC01:CH3_BFP,
,,DSC:BPN20:BC01:CH4_B,,false,0,,DSC:BPN20:BC01:CH4_BFP,
,,DSC:BPN20:BC01:CH5_B,,false,0,,DSC:BPN20:BC01:CH5_BFP,
,,DSC:BPN20:BC01:CH6_B,,false,0,,DSC:BPN20:BC01:CH6_BFP,
,,DSC:BPN20:BC01:CH7_B,,false,0,,DSC:BPN20:BC01:CH7_BFP,
,,DSC:BPN20:BC01:CH8_B,,false,0,,DSC:BPN20:BC01:CH8_BFP,
5,BCS:GLOBAL:DSC:BPN14,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC:BPN14 ,Summary PV: BCS:GLOBAL:DSC:BPN14:STATSUMY ,"
6,BCS:GLOBAL:DSC:BPN14:BC01:A,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:BPN14:BC01:A ,Summary PV: BCS:GLOBAL:DSC:BPN14:BC01:A:STATSUMY ,"
,,DSC:BPN14:BC01:CH1_A,,false,0,,DSC:BPN14:BC01:CH1_AFP,
,,DSC:BPN14:BC01:CH2_A,,false,0,,DSC:BPN14:BC01:CH2_AFP,
,,DSC:BPN14:BC01:CH3_A,,false,0,,DSC:BPN14:BC01:CH3_AFP,
,,DSC:BPN14:BC01:CH4_A,,false,0,,DSC:BPN14:BC01:CH4_AFP,
,,DSC:BPN14:BC01:CH5_A,,false,0,,DSC:BPN14:BC01:CH5_AFP,
,,DSC:BPN14:BC01:CH6_A,,false,0,,DSC:BPN14:BC01:CH6_AFP,
,,DSC:BPN14:BC01:CH7_A,,false,0,,DSC:BPN14:BC01:CH7_AFP,
,,DSC:BPN14:BC01:CH8_A,,false,0,,DSC:BPN14:BC01:CH8_AFP,
6,BCS:GLOBAL:DSC:BPN14:BC01:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:BPN14:BC01:B ,Summary PV: BCS:GLOBAL:DSC:BPN14:BC02:1:STATSUMY ,"
,,DSC:BPN14:BC01:CH1_B,,false,0,,DSC:BPN14:BC01:CH1_BFP,
,,DSC:BPN14:BC01:CH2_B,,false,0,,DSC:BPN14:BC01:CH2_BFP,
,,DSC:BPN14:BC01:CH3_B,,false,0,,DSC:BPN14:BC01:CH3_BFP,
,,DSC:BPN14:BC01:CH4_B,,false,0,,DSC:BPN14:BC01:CH4_BFP,
,,DSC:BPN14:BC01:CH5_B,,false,0,,DSC:BPN14:BC01:CH5_BFP,
,,DSC:BPN14:BC01:CH6_B,,false,0,,DSC:BPN14:BC01:CH6_BFP,
,,DSC:BPN14:BC01:CH7_B,,false,0,,DSC:BPN14:BC01:CH7_BFP,
,,DSC:BPN14:BC01:CH8_B,,false,0,,DSC:BPN14:BC01:CH8_BFP,
5,BCS:GLOBAL:DSC:L3B,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC:L3B ,Summary PV: BCS:GLOBAL:DSC:L3B:STATSUMY ,"
